,label,text,regex,removed_stopwords,snowball,potter,snowball_nostop,lemmatized,regex_lemm_nostop,reg_nostop_snowball
15,1,Highly recommend for any one who has a blue tooth phone.,highly recommend for any one who has a blue tooth phone,highly recommend one blue tooth phone,high recommend for ani one who has a blue tooth phone,highli recommend one blue tooth phone,high recommend ani one blue tooth phone,highly recommend for any one who ha a blue tooth phone,highly recommend one ha blue tooth phone,high recommend one blue tooth phone
16,0,I advise EVERYONE DO NOT BE FOOLED!,i advise everyone do not be fooled,advise everyone do not fooled,i advis everyon do not be fool,advis everyon do not fool,advis everyon fool,i advise everyone do not be fooled,advise everyone fooled,advis everyon do not fool
17,1,So Far So Good!.,so far so good,far good,so far so good,far good,far good,so far so good,far good,far good
18,1,Works great!.,works great,works great,work great,work great,work great,work great,work great,work great
19,0,It clicks into place in a way that makes you wonder how long that mechanism would last.,it clicks into place in a way that makes you wonder how long that mechanism would last,clicks place way makes wonder long mechanism would last,it click into place in a way that make you wonder how long that mechan would last,click place way make wonder long mechan would last,click place way make wonder long mechan would last,it click into place in a way that make you wonder how long that mechanism would last,click place way make wonder long mechanism would last,click place way make wonder long mechan would last
20,0,"I went on Motorola's website and followed all directions, but could not get it to pair again.",i went on motorolas website and followed all directions but could not get it to pair again,went motorolas website followed directions but could not get pair,i went on motorola websit and follow all direct but could not get it to pair again,went motorola websit follow direct but could not get pair,went motorola websit follow direct could get pair,i went on motorolas website and followed all direction but could not get it to pair again,went motorolas website followed direction could get pair,went motorola websit follow direct but could not get pair
21,1,I bought this to use with my Kindle Fire and absolutely loved it!,i bought this to use with my kindle fire and absolutely loved it,bought use kindle fire absolutely loved,i bought this to use with my kindl fire and absolut love it,bought use kindl fire absolut love,bought use kindl fire absolut love,i bought this to use with my kindle fire and absolutely loved it,bought use kindle fire absolutely loved,bought use kindl fire absolut love
22,0,The commercials are the most misleading.,the commercials are the most misleading,commercials misleading,the commerci are the most mislead,commerci mislead,commerci mislead,the commercial are the most misleading,commercial misleading,commerci mislead
23,1,I have yet to run this new battery below two bars and that's three days without charging.,i have yet to run this new battery below two bars and thats three days without charging,yet run new battery below two bars thats three days without charging,i have yet to run this new batteri below two bar and that three day without charg,yet run new batteri below two bar that three day without charg,yet run new batteri two bar three day without charg,i have yet to run this new battery below two bar and thats three day without charging,yet run new battery two bar thats three day without charging,yet run new batteri below two bar that three day without charg
24,0,I bought it for my mother and she had a problem with the battery.,i bought it for my mother and she had a problem with the battery,bought mother problem battery,i bought it for my mother and she had a problem with the batteri,bought mother problem batteri,bought mother problem batteri,i bought it for my mother and she had a problem with the battery,bought mother problem battery,bought mother problem batteri
25,1,Great Pocket PC / phone combination.,great pocket pc   phone combination,great pocket pc phone combination,great pocket pc phone combin,great pocket pc phone combin,great pocket pc phone combin,great pocket pc phone combination,great pocket pc phone combination,great pocket pc phone combin
26,1,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,ive owned this phone for 7 months now and can say that its the best mobile phone ive had,ive owned phone 7 months say best mobile phone ive,ive own this phone for 7 month now and can say that it the best mobil phone ive had,ive own phone 7 month say best mobil phone ive,ive phone 7 month say best mobil phone ive,ive owned this phone for 7 month now and can say that it the best mobile phone ive had,ive owned phone 7 month say best mobile phone ive,ive own phone 7 month say best mobil phone ive
27,0,I didn't think that the instructions provided were helpful to me.,i didnt think that the instructions provided were helpful to me,didnt think instructions provided helpful,i didnt think that the instruct provid were help to me,didnt think instruct provid help,didnt think instruct provid help,i didnt think that the instruction provided were helpful to me,didnt think instruction provided helpful,didnt think instruct provid help
28,0,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,people couldnt hear me talk and i had to pull out the earphone and talk on the phone,people couldnt hear talk pull earphone talk phone,peopl couldnt hear me talk and i had to pull out the earphon and talk on the phone,peopl couldnt hear talk pull earphon talk phone,peopl couldnt hear talk pull earphon talk phone,people couldnt hear me talk and i had to pull out the earphone and talk on the phone,people couldnt hear talk pull earphone talk phone,peopl couldnt hear talk pull earphon talk phone
29,0,Doesn't hold charge.,doesnt hold charge,doesnt hold charge,doesnt hold charg,doesnt hold charg,doesnt hold charg,doesnt hold charge,doesnt hold charge,doesnt hold charg
30,0,"This is a simple little phone to use, but the breakage is unacceptible.",this is a simple little phone to use but the breakage is unacceptible,simple little phone use but breakage unacceptible,this is a simpl littl phone to use but the breakag is unaccept,simpl littl phone use but breakag unaccept,simpl littl phone use breakag unaccept,this is a simple little phone to use but the breakage is unacceptible,simple little phone use breakage unacceptible,simpl littl phone use but breakag unaccept
31,1,This product is ideal for people like me whose ears are very sensitive.,this product is ideal for people like me whose ears are very sensitive,product ideal people like whose ears sensitive,this product is ideal for peopl like me whose ear are veri sensit,product ideal peopl like whose ear sensit,product ideal peopl like whose ear veri sensit,this product is ideal for people like me whose ear are very sensitive,product ideal people like whose ear sensitive,product ideal peopl like whose ear sensit
32,0,It is unusable in a moving car at freeway speed.,it is unusable in a moving car at freeway speed,unusable moving car freeway speed,it is unus in a move car at freeway speed,unus move car freeway speed,unus move car freeway speed,it is unusable in a moving car at freeway speed,unusable moving car freeway speed,unus move car freeway speed
33,0,I have two more years left in this contract and I hate this phone.,i have two more years left in this contract and i hate this phone,two years left contract hate phone,i have two more year left in this contract and i hate this phone,two year left contract hate phone,two year left contract hate phone,i have two more year left in this contract and i hate this phone,two year left contract hate phone,two year left contract hate phone
34,1,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,car charger as well as ac charger are included to make sure you never run out of juicehighy recommended,car charger well ac charger included make sure never run juicehighy recommended,car charger as well as ac charger are includ to make sure you never run out of juicehighi recommend,car charger well ac charger includ make sure never run juicehighi recommend,car charger well ac charger includ make sure never run juicehighi recommend,car charger a well a ac charger are included to make sure you never run out of juicehighy recommended,car charger well ac charger included make sure never run juicehighy recommended,car charger well ac charger includ make sure never run juicehighi recommend
35,0,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,you need at least 3 mins to get to your phone book from the time you first turn on the phonebattery life is short,need least 3 mins get phone book time first turn phonebattery life short,you need at least 3 min to get to your phone book from the time you first turn on the phonebatteri life is short,need least 3 min get phone book time first turn phonebatteri life short,need least 3 min get phone book time first turn phonebatteri life short,you need at least 3 min to get to your phone book from the time you first turn on the phonebattery life is short,need least 3 min get phone book time first turn phonebattery life short,need least 3 min get phone book time first turn phonebatteri life short
36,1,It has kept up very well.,it has kept up very well,kept well,it has kept up veri well,kept well,kept veri well,it ha kept up very well,ha kept well,kept well
37,0,Poor Talk Time Performance.,poor talk time performance,poor talk time performance,poor talk time perform,poor talk time perform,poor talk time perform,poor talk time performance,poor talk time performance,poor talk time perform
38,1,The case is great and works fine with the 680.,the case is great and works fine with the 680,case great works fine 680,the case is great and work fine with the 680,case great work fine 680,case great work fine 680,the case is great and work fine with the 680,case great work fine 680,case great work fine 680
39,0,worthless product.,worthless product,worthless product,worthless product,worthless product,worthless product,worthless product,worthless product,worthless product
40,1,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",it has a great camera thats 2mp and the pics are nice and clear with great picture quality,great camera thats 2mp pics nice clear great picture quality,it has a great camera that 2mp and the pic are nice and clear with great pictur qualiti,great camera that 2mp pic nice clear great pictur qualiti,great camera 2mp pic nice clear great pictur qualiti,it ha a great camera thats 2mp and the pic are nice and clear with great picture quality,ha great camera thats 2mp pic nice clear great picture quality,great camera that 2mp pic nice clear great pictur qualiti
41,0,I was not impressed by this product.,i was not impressed by this product,not impressed product,i was not impress by this product,not impress product,impress product,i wa not impressed by this product,wa impressed product,not impress product
42,1,Nice headset priced right.,nice headset priced right,nice headset priced right,nice headset price right,nice headset price right,nice headset price right,nice headset priced right,nice headset priced right,nice headset price right
43,0,I only hear garbage for audio.,i only hear garbage for audio,hear garbage audio,i onli hear garbag for audio,hear garbag audio,onli hear garbag audio,i only hear garbage for audio,hear garbage audio,hear garbag audio
44,1,Excellent bluetooth headset.,excellent bluetooth headset,excellent bluetooth headset,excel bluetooth headset,excel bluetooth headset,excel bluetooth headset,excellent bluetooth headset,excellent bluetooth headset,excel bluetooth headset
45,1,It has all the features I want,it has all the features i want,features want,it has all the featur i want,featur want,featur want,it ha all the feature i want,ha feature want,featur want
46,0,Who in their right mind is gonna buy this battery?.,who in their right mind is gonna buy this battery,right mind gonna buy battery,who in their right mind is gonna buy this batteri,right mind gonna buy batteri,right mind gonna buy batteri,who in their right mind is gonna buy this battery,right mind gonna buy battery,right mind gonna buy batteri
47,0,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,after arguing with verizon regarding the dropped calls we returned the phones after two days,after arguing verizon regarding dropped calls returned phones after two days,after argu with verizon regard the drop call we return the phone after two day,after argu verizon regard drop call return phone after two day,argu verizon regard drop call return phone two day,after arguing with verizon regarding the dropped call we returned the phone after two day,arguing verizon regarding dropped call returned phone two day,after argu verizon regard drop call return phone after two day
48,1,This case seems well made.,this case seems well made,case seems well made,this case seem well made,case seem well made,case seem well made,this case seems well made,case seems well made,case seem well made
49,0,Disappointed with battery.,disappointed with battery,disappointed battery,disappoint with batteri,disappoint batteri,disappoint batteri,disappointed with battery,disappointed battery,disappoint batteri
50,0,Not loud enough and doesn't turn on like it should.,not loud enough and doesnt turn on like it should,not loud enough doesnt turn like,not loud enough and doesnt turn on like it should,not loud enough doesnt turn like,loud enough doesnt turn like,not loud enough and doesnt turn on like it should,loud enough doesnt turn like,not loud enough doesnt turn like
51,1,good protection and does not make phone too bulky.,good protection and does not make phone too bulky,good protection does not make phone bulky,good protect and doe not make phone too bulki,good protect doe not make phone bulki,good protect doe make phone bulki,good protection and doe not make phone too bulky,good protection doe make phone bulky,good protect doe not make phone bulki
52,1,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,a usable keyboard actually turns a pda into a real world useful machine instead of just a neat gadget,usable keyboard actually turns pda real world useful machine instead neat gadget,a usabl keyboard actual turn a pda into a real world use machin instead of just a neat gadget,usabl keyboard actual turn pda real world use machin instead neat gadget,usabl keyboard actual turn pda real world use machin instead neat gadget,a usable keyboard actually turn a pda into a real world useful machine instead of just a neat gadget,usable keyboard actually turn pda real world useful machine instead neat gadget,usabl keyboard actual turn pda real world use machin instead neat gadget
53,1,This phone is pretty sturdy and I've never had any large problems with it.,this phone is pretty sturdy and ive never had any large problems with it,phone pretty sturdy ive never large problems,this phone is pretti sturdi and ive never had ani larg problem with it,phone pretti sturdi ive never larg problem,phone pretti sturdi ive never ani larg problem,this phone is pretty sturdy and ive never had any large problem with it,phone pretty sturdy ive never large problem,phone pretti sturdi ive never larg problem
54,1,I love this thing!,i love this thing,love thing,i love this thing,love thing,love thing,i love this thing,love thing,love thing
55,1,Everything about it is fine and reasonable for the price i.e.,everything about it is fine and reasonable for the price ie,everything fine reasonable price ie,everyth about it is fine and reason for the price ie,everyth fine reason price ie,everyth fine reason price ie,everything about it is fine and reasonable for the price ie,everything fine reasonable price ie,everyth fine reason price ie
56,0,VERY DISAPPOINTED.,very disappointed,disappointed,veri disappoint,disappoint,veri disappoint,very disappointed,disappointed,disappoint
57,1,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great,even dropped phone stream submerged 15 seconds still works great,i even drop this phone into a stream and it was submerg for 15 second and it still work great,even drop phone stream submerg 15 second still work great,even drop phone stream submerg 15 second still work great,i even dropped this phone into a stream and it wa submerged for 15 second and it still work great,even dropped phone stream wa submerged 15 second still work great,even drop phone stream submerg 15 second still work great
58,1,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end,happy 510 complaints one regarding sound quality end,i have been veri happi with the 510 and have had no complaint from ani one regard my sound qualiti on their end,happi 510 complaint one regard sound qualiti end,veri happi 510 complaint ani one regard sound qualiti end,i have been very happy with the 510 and have had no complaint from any one regarding my sound quality on their end,happy 510 complaint one regarding sound quality end,happi 510 complaint one regard sound qualiti end
59,0,The buttons for on and off are bad.,the buttons for on and off are bad,buttons bad,the button for on and off are bad,button bad,button bad,the button for on and off are bad,button bad,button bad
60,0,Essentially you can forget Microsoft's tech support.,essentially you can forget microsofts tech support,essentially forget microsofts tech support,essenti you can forget microsoft tech support,essenti forget microsoft tech support,essenti forget microsoft tech support,essentially you can forget microsofts tech support,essentially forget microsofts tech support,essenti forget microsoft tech support
61,1,"I really recommend this faceplates since it looks very nice, elegant and cool.",i really recommend this faceplates since it looks very nice elegant and cool,really recommend faceplates since looks nice elegant cool,i realli recommend this facepl sinc it look veri nice eleg and cool,realli recommend facepl sinc look nice eleg cool,realli recommend facepl sinc look veri nice eleg cool,i really recommend this faceplate since it look very nice elegant and cool,really recommend faceplate since look nice elegant cool,realli recommend facepl sinc look nice eleg cool
62,1,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,these headphones were a great find   and i think they are perhaps the best purchase ive made in the last several years   seriously,headphones great find think perhaps best purchase ive made last several years seriously,these headphon were a great find and i think they are perhap the best purchas ive made in the last sever year serious,headphon great find think perhap best purchas ive made last sever year serious,headphon great find think perhap best purchas ive made last sever year serious,these headphone were a great find and i think they are perhaps the best purchase ive made in the last several year seriously,headphone great find think perhaps best purchase ive made last several year seriously,headphon great find think perhap best purchas ive made last sever year serious
63,0,Buy a different phone - but not this.,buy a different phone   but not this,buy different phone but not,buy a differ phone but not this,buy differ phone but not,buy differ phone,buy a different phone but not this,buy different phone,buy differ phone but not
64,0,You have to hold the phone at a particular angle for the other party to hear you clearly.,you have to hold the phone at a particular angle for the other party to hear you clearly,hold phone particular angle party hear clearly,you have to hold the phone at a particular angl for the other parti to hear you clear,hold phone particular angl parti hear clearli,hold phone particular angl parti hear clear,you have to hold the phone at a particular angle for the other party to hear you clearly,hold phone particular angle party hear clearly,hold phone particular angl parti hear clear
65,0,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,the one big drawback of the mp3 player is that the buttons on the phones front cover that let you pause and skip songs lock out after a few seconds,one big drawback mp3 player buttons phones front cover let pause skip songs lock after seconds,the one big drawback of the mp3 player is that the button on the phone front cover that let you paus and skip song lock out after a few second,one big drawback mp3 player button phone front cover let paus skip song lock after second,one big drawback mp3 player button phone front cover let paus skip song lock second,the one big drawback of the mp3 player is that the button on the phone front cover that let you pause and skip song lock out after a few second,one big drawback mp3 player button phone front cover let pause skip song lock second,one big drawback mp3 player button phone front cover let paus skip song lock after second
66,0,"A week later after I activated it, it suddenly died.",a week later after i activated it it suddenly died,week later after activated suddenly died,a week later after i activ it it sudden die,week later after activ suddenli die,week later activ sudden die,a week later after i activated it it suddenly died,week later activated suddenly died,week later after activ sudden die
67,1,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,feels comfortable headsets wear glasses gets way sometimes,it feel more comfort than most headset becaus i wear glass and that get in the way sometim,feel comfort headset wear glass get way sometim,feel comfort headset becaus wear glass get way sometim,it feel more comfortable than most headset because i wear glass and that get in the way sometimes,feel comfortable headset wear glass get way sometimes,feel comfort headset wear glass get way sometim
68,1,Great for iPODs too.,great for ipods too,great ipods,great for ipod too,great ipod,great ipod,great for ipod too,great ipod,great ipod
69,1,This device is great in several situations:1.),this device is great in several situations1,device great several situations1,this devic is great in sever situations1,devic great sever situations1,devic great sever situations1,this device is great in several situations1,device great several situations1,devic great sever situations1
70,0,Mic Doesn't work.,mic doesnt work,mic doesnt work,mic doesnt work,mic doesnt work,mic doesnt work,mic doesnt work,mic doesnt work,mic doesnt work
71,0,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",even in my bmw 3 series which is fairly quiet i have trouble hearing what the other person is saying,even bmw 3 series fairly quiet trouble hearing person saying,even in my bmw 3 seri which is fair quiet i have troubl hear what the other person is say,even bmw 3 seri fairli quiet troubl hear person say,even bmw 3 seri fair quiet troubl hear person say,even in my bmw 3 series which is fairly quiet i have trouble hearing what the other person is saying,even bmw 3 series fairly quiet trouble hearing person saying,even bmw 3 seri fair quiet troubl hear person say
72,1,Great choice!,great choice,great choice,great choic,great choic,great choic,great choice,great choice,great choic
73,1,Nice docking station for home or work.,nice docking station for home or work,nice docking station home work,nice dock station for home or work,nice dock station home work,nice dock station home work,nice docking station for home or work,nice docking station home work,nice dock station home work
74,1,This is a beautiful phone.,this is a beautiful phone,beautiful phone,this is a beauti phone,beauti phone,beauti phone,this is a beautiful phone,beautiful phone,beauti phone
75,1,Love this product.,love this product,love product,love this product,love product,love product,love this product,love product,love product
76,0,Do Not Buy for D807...wrongly advertised for D807.,do not buy for d807wrongly advertised for d807,do not buy d807wrongly advertised d807,do not buy for d807wrong advertis for d807,do not buy d807wrongli advertis d807,buy d807wrong advertis d807,do not buy for d807wrongly advertised for d807,buy d807wrongly advertised d807,do not buy d807wrong advertis d807
77,1,This is a great little item.,this is a great little item,great little item,this is a great littl item,great littl item,great littl item,this is a great little item,great little item,great littl item
78,1,"I love this phone , It is very handy and has a lot of features .",i love this phone  it is very handy and has a lot of features ,love phone handy lot features,i love this phone it is veri handi and has a lot of featur,love phone handi lot featur,love phone veri handi lot featur,i love this phone it is very handy and ha a lot of feature,love phone handy ha lot feature,love phone handi lot featur
79,0,I purchased this and within 2 days it was no longer working!!!!!!!!!,i purchased this and within 2 days it was no longer working,purchased within 2 days longer working,i purchas this and within 2 day it was no longer work,purchas within 2 day longer work,purchas within 2 day longer work,i purchased this and within 2 day it wa no longer working,purchased within 2 day wa longer working,purchas within 2 day longer work
80,1,I wear it everyday and it holds up very well.,i wear it everyday and it holds up very well,wear everyday holds well,i wear it everyday and it hold up veri well,wear everyday hold well,wear everyday hold veri well,i wear it everyday and it hold up very well,wear everyday hold well,wear everyday hold well
81,0,Not a good bargain.,not a good bargain,not good bargain,not a good bargain,not good bargain,good bargain,not a good bargain,good bargain,not good bargain
82,1,"Well packaged, arrived on time, and works as intended.",well packaged arrived on time and works as intended,well packaged arrived time works intended,well packag arriv on time and work as intend,well packag arriv time work intend,well packag arriv time work intend,well packaged arrived on time and work a intended,well packaged arrived time work intended,well packag arriv time work intend
83,0,The battery runs down quickly.,the battery runs down quickly,battery runs quickly,the batteri run down quick,batteri run quickli,batteri run quick,the battery run down quickly,battery run quickly,batteri run quick
84,0,"This item worked great, but it broke after 6 months of use.",this item worked great but it broke after 6 months of use,item worked great but broke after 6 months use,this item work great but it broke after 6 month of use,item work great but broke after 6 month use,item work great broke 6 month use,this item worked great but it broke after 6 month of use,item worked great broke 6 month use,item work great but broke after 6 month use
85,1,The headsets are easy to use and everyone loves them.,the headsets are easy to use and everyone loves them,headsets easy use everyone loves,the headset are easi to use and everyon love them,headset easi use everyon love,headset easi use everyon love,the headset are easy to use and everyone love them,headset easy use everyone love,headset easi use everyon love
86,1,This phone works great.,this phone works great,phone works great,this phone work great,phone work great,phone work great,this phone work great,phone work great,phone work great
87,0,The construction of the headsets is poor.,the construction of the headsets is poor,construction headsets poor,the construct of the headset is poor,construct headset poor,construct headset poor,the construction of the headset is poor,construction headset poor,construct headset poor
88,1,Product was excellent and works better than the verizon one and Boy was it cheaper!,product was excellent and works better than the verizon one and boy was it cheaper,product excellent works better verizon one boy cheaper,product was excel and work better than the verizon one and boy was it cheaper,product excel work better verizon one boy cheaper,product excel work better verizon one boy cheaper,product wa excellent and work better than the verizon one and boy wa it cheaper,product wa excellent work better verizon one boy wa cheaper,product excel work better verizon one boy cheaper
89,1,The phone loads super!,the phone loads super,phone loads super,the phone load super,phone load super,phone load super,the phone load super,phone load super,phone load super
90,0,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,product costs much one does expect work far better greater ease thing does,for a product that cost as much as this one doe i expect it to work far better and with greater eas than this thing doe,product cost much one doe expect work far better greater eas thing doe,product cost much one doe expect work far better greater eas thing doe,for a product that cost a much a this one doe i expect it to work far better and with greater ease than this thing doe,product cost much one doe expect work far better greater ease thing doe,product cost much one doe expect work far better greater eas thing doe
91,1,Made very sturdy.,made very sturdy,made sturdy,made veri sturdi,made sturdi,made veri sturdi,made very sturdy,made sturdy,made sturdi
92,1,Worked great!.,worked great,worked great,work great,work great,work great,worked great,worked great,work great
93,0,The ear buds only play music in one ear.,the ear buds only play music in one ear,ear buds play music one ear,the ear bud onli play music in one ear,ear bud play music one ear,ear bud onli play music one ear,the ear bud only play music in one ear,ear bud play music one ear,ear bud play music one ear
94,0,Dont waste your money...,dont waste your money,dont waste money,dont wast your money,dont wast money,dont wast money,dont waste your money,dont waste money,dont wast money
95,1,Will order from them again!,will order from them again,order,will order from them again,order,order,will order from them again,order,order
96,0,If you plan to use this in a car forget about it.,if you plan to use this in a car forget about it,plan use car forget,if you plan to use this in a car forget about it,plan use car forget,plan use car forget,if you plan to use this in a car forget about it,plan use car forget,plan use car forget
97,0,I found this product to be waaay too big.,i found this product to be waaay too big,found product waaay big,i found this product to be waaay too big,found product waaay big,found product waaay big,i found this product to be waaay too big,found product waaay big,found product waaay big
98,1,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,best ive found so far  ive tried 2 other bluetooths and this one has the best quality for both me and the listener as well as ease of using,best ive found far ive tried 2 bluetooths one best quality both listener well ease using,best ive found so far ive tri 2 other bluetooth and this one has the best qualiti for both me and the listen as well as eas of use,best ive found far ive tri 2 bluetooth one best qualiti both listen well eas use,best ive found far ive tri 2 bluetooth one best qualiti listen well eas use,best ive found so far ive tried 2 other bluetooths and this one ha the best quality for both me and the listener a well a ease of using,best ive found far ive tried 2 bluetooths one ha best quality listener well ease using,best ive found far ive tri 2 bluetooth one best qualiti both listen well eas use
99,0,I'm very disappointed with my decision.,im very disappointed with my decision,im disappointed decision,im veri disappoint with my decis,im disappoint decis,im veri disappoint decis,im very disappointed with my decision,im disappointed decision,im disappoint decis
100,1,Integrated seamlessly with the Motorola RAZR phone.,integrated seamlessly with the motorola razr phone,integrated seamlessly motorola razr phone,integr seamless with the motorola razr phone,integr seamlessli motorola razr phone,integr seamless motorola razr phone,integrated seamlessly with the motorola razr phone,integrated seamlessly motorola razr phone,integr seamless motorola razr phone
101,0,"Buyer Beware, you could flush money right down the toilet.",buyer beware you could flush money right down the toilet,buyer beware could flush money right toilet,buyer bewar you could flush money right down the toilet,buyer bewar could flush money right toilet,buyer bewar could flush money right toilet,buyer beware you could flush money right down the toilet,buyer beware could flush money right toilet,buyer bewar could flush money right toilet
102,1,Definitely a bargain.,definitely a bargain,definitely bargain,definit a bargain,definit bargain,definit bargain,definitely a bargain,definitely bargain,definit bargain
103,1,The price was very good and with the free shipping and all it was a good purchase.,the price was very good and with the free shipping and all it was a good purchase,price good free shipping good purchase,the price was veri good and with the free ship and all it was a good purchas,price good free ship good purchas,price veri good free ship good purchas,the price wa very good and with the free shipping and all it wa a good purchase,price wa good free shipping wa good purchase,price good free ship good purchas
104,0,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger,received supposedly new motorola 375 apparently not match between phone charger,i receiv my suppos new motorola 375 and appar there was not a match between the phone and the charger,receiv supposedli new motorola 375 appar not match between phone charger,receiv suppos new motorola 375 appar match phone charger,i received my supposedly new motorola 375 and apparently there wa not a match between the phone and the charger,received supposedly new motorola 375 apparently wa match phone charger,receiv suppos new motorola 375 appar not match between phone charger
